POS,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
4,Trent Boult,22,16,16,57.4,517,26/4,23.50,8.96,15.72,1,0
7,Jasprit Bumrah,18,12,12,47.2,316,22/4,17.55,6.67,15.77,1,0
21,Hardik Pandya,14,15,14,35.0,342,36/5,24.42,9.77,15.00,0,1
33,Deepak Chahar,11,14,14,41.0,376,12/2,34.18,9.17,22.36,0,0
36,Ashwani Kumar,11,7,7,20.3,232,24/4,21.09,11.31,11.18,1,0
37,Mitchell Santner,10,13,13,39.3,313,11/3,31.30,7.92,23.70,0,0
48,Karn Sharma,7,6,5,15.0,128,23/3,18.28,8.53,12.85,0,0
51,Will Jacks,6,13,8,14.0,120,14/2,20.00,8.57,14.00,0,0
52,Vignesh Puthur,6,5,5,12.0,109,32/3,18.16,9.08,12.00,0,0
91,Corbin Bosch,1,2,2,7.0,55,26/1,55.00,7.85,42.00,0,0
97,Richard Gleeson,1,1,1,3.3,39,39/1,39.00,11.14,21.00,0,0
106,V Satyanarayana Penmetsa,1,2,2,4.0,53,40/1,53.00,13.25,24.00,0,0
108,Mujeeb-ur-Rahman,1,1,1,2.0,28,28/1,28.00,14.00,12.00,0,0
,Totals:,0,0,0,0.0,0,,,,,0,0
