excelPOS,Player,Runs,Ov,Wkts,SR,Against,Venue,Match Date
1,"Jofra Archer
RR",76,4.0,0,0.00,SRH,Rajiv Gandhi International Stadium,23 March 2025
2,"Mohammad Shami
SRH",75,4.0,0,0.00,PBKS,Rajiv Gandhi International Stadium,12 April 2025
3,"William O Rourke
LSG",74,4.0,2,12.00,RCB,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,27 May 2025
4,"Khaleel Ahmed
CSK",65,3.0,0,0.00,RCB,M Chinnaswamy Stadium,03 May 2025
5,"Pat Cummins
SRH",60,4.0,0,0.00,RR,Rajiv Gandhi International Stadium,23 March 2025
6,"Arshdeep Singh
PBKS",60,4.0,0,0.00,RR,Sawai Mansingh Stadium,18 May 2025
7,"Mayank Yadav
LSG",60,4.0,0,0.00,PBKS,Himachal Pradesh Cricket Association Stadium,04 May 2025
8,"Anrich Nortje
KKR",60,4.0,0,0.00,SRH,Arun Jaitley Stadium,25 May 2025
9,"Avesh Khan
LSG",57,4.0,0,0.00,PBKS,Himachal Pradesh Cricket Association Stadium,04 May 2025
10,"Trent Boult
MI",57,4.0,2,12.00,RCB,Wankhede Stadium,07 April 2025
11,"Yuzvendra Chahal
PBKS",56,4.0,1,24.00,SRH,Rajiv Gandhi International Stadium,12 April 2025
12,"Shardul Thakur
LSG",56,4.0,0,0.00,CSK,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,14 April 2025
13,"Ashwani Kumar
MI",55,4.0,2,12.00,PBKS,Narendra Modi Stadium,01 June 2025
14,"Bhuvneshwar Kumar
RCB",55,4.0,0,0.00,CSK,M Chinnaswamy Stadium,03 May 2025
15,"Sandeep Sharma
RR",55,4.0,1,24.00,LSG,Sawai Mansingh Stadium,19 April 2025
16,"Akash Deep
LSG",55,4.0,2,12.00,KKR,Eden Gardens,08 April 2025
17,"Varun Chakaravarthy
KKR",54,3.0,0,0.00,SRH,Arun Jaitley Stadium,25 May 2025
18,"Rashid Khan
GT",54,4.0,0,0.00,RCB,M Chinnaswamy Stadium,02 April 2025
19,"Josh Hazlewood
RCB",54,4.0,1,24.00,PBKS,Narendra Modi Stadium,03 June 2025
20,"Mohammed Siraj
GT",54,4.0,0,0.00,PBKS,Narendra Modi Stadium,25 March 2025
