POS,Player,50,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,4s,6s
1,Virat Kohli (RCB),8,15,15,3,657,73*,54.75,454,144.71,0,66,19
2,Mitchell Marsh (LSG),6,13,13,0,627,117,48.23,383,163.70,1,56,37
3,Yashasvi Jaiswal (RR),6,14,14,1,559,75,43.00,350,159.71,0,60,28
4,Shubman Gill (GT),6,15,15,2,650,93*,50.00,417,155.87,0,62,24
5,Sai Sudharsan (GT),6,15,15,1,759,108*,54.21,486,156.17,1,88,21
6,Shreyas Iyer (PBKS),6,17,17,5,604,97*,50.33,345,175.07,0,43,39
7,Jos Buttler (GT),5,14,13,4,538,97*,59.78,330,163.03,0,52,24
8,Aiden Markram (LSG),5,13,13,0,445,66,34.23,299,148.82,0,38,22
9,Nicholas Pooran (LSG),5,14,14,2,524,87*,43.67,267,196.25,0,45,40
10,Surya Kumar Yadav (MI),5,16,16,5,717,73*,65.18,427,167.91,0,69,38
11,Phil Salt (RCB),4,13,13,1,403,65,33.58,229,175.98,0,48,22
12,Rohit Sharma (MI),4,15,15,1,418,81,29.86,280,149.28,0,41,22
13,Prabhsimran Singh (PBKS),4,17,17,0,549,91,32.29,342,160.52,0,56,30
14,Ajinkya Rahane (KKR),3,13,12,1,390,61,35.45,264,147.72,0,36,20
15,Travis Head (SRH),3,13,12,0,374,76,31.17,230,162.60,0,50,15
16,K L Rahul (DC),3,13,13,3,539,112*,53.90,360,149.72,1,52,21
17,Shashank Singh (PBKS),3,17,14,7,350,61*,50.00,228,153.50,0,23,18
18,Ryan Rickelton (MI),3,14,14,1,388,62*,29.85,257,150.97,0,47,17
19,Ruturaj Gaikwad (CSK),2,5,5,0,122,63,24.40,81,150.61,0,14,4
20,Devon Conway (CSK),2,6,6,0,156,69,26.00,119,131.09,0,17,4
21,Dewald Brevis (CSK),2,6,6,0,225,57,37.50,125,180.00,0,13,17
22,Faf Du Plessis (DC),2,9,9,0,202,62,22.44,163,123.92,0,18,8
23,Devdutt Padikkal (RCB),2,10,10,1,247,61,27.44,164,150.60,0,21,14
24,Nitish Rana (RR),2,11,11,1,217,81,21.70,134,161.94,0,27,9
25,Ayush Badoni (LSG),2,14,11,1,329,74,32.90,222,148.19,0,27,14
26,N Tilak Varma (MI),2,16,13,2,343,59,31.18,248,138.30,0,23,16
27,Dhruv Jurel (RR),2,14,13,4,333,70,37.00,213,156.33,0,22,22
28,Abhishek Sharma (SRH),2,14,13,0,439,141,33.77,227,193.39,1,46,28
29,Ravindra Jadeja (CSK),2,14,14,5,301,77*,33.44,222,135.58,0,25,10
30,Rajat Patidar (RCB),2,15,14,1,312,64,24.00,217,143.77,0,25,14
31,Nehal Wadhera (PBKS),2,16,15,3,369,70,30.75,253,145.84,0,28,21
32,Priyansh Arya (PBKS),2,17,17,0,475,103,27.94,265,179.24,1,55,25
